epoch,class_0,class_1,class_2,class_3,class_4,class_5,class_6,class_7,class_8,class_9
1,98.9795918367347,98.23788546255507,93.21705426356588,97.82178217821782,94.80651731160896,95.62780269058295,96.03340292275574,91.43968871595331,93.94250513347022,96.53121902874133
2,99.08163265306122,98.94273127753304,96.31782945736434,98.11881188118812,97.35234215885947,96.97309417040358,96.45093945720251,97.85992217898833,95.37987679671458,96.0356788899901
3,98.46938775510205,98.41409691629956,97.57751937984496,96.83168316831683,98.4725050916497,98.31838565022422,99.16492693110648,97.85992217898833,96.91991786447639,95.93657086223985
4,98.9795918367347,98.76651982378854,96.70542635658914,97.62376237623762,97.75967413441956,99.10313901345292,98.01670146137788,98.24902723735408,96.20123203285421,95.24281466798811
5,99.18367346938776,99.03083700440529,98.54651162790698,97.62376237623762,98.16700610997964,96.63677130044843,97.7035490605428,96.69260700389106,98.15195071868582,98.1169474727453
