epoch,class_0,class_1,class_2,class_3,class_4,class_5,class_6,class_7,class_8,class_9
1,96.12244897959184,97.09251101321586,92.05426356589147,90.4950495049505,91.75152749490834,89.23766816143498,94.46764091858037,89.39688715953308,88.50102669404518,88.89990089197225
2,97.24489795918367,98.41409691629956,94.67054263565892,95.54455445544555,95.92668024439918,92.48878923766816,96.65970772442589,94.64980544747081,91.58110882956879,92.86422200198216
3,97.85714285714286,98.76651982378854,94.67054263565892,95.74257425742574,95.010183299389,96.30044843049328,97.49478079331942,95.91439688715953,96.71457905544148,93.26065411298315
4,98.46938775510205,97.79735682819383,96.02713178294573,96.53465346534654,97.65784114052953,96.63677130044843,97.39039665970772,96.01167315175097,96.50924024640658,94.35084241823587
5,98.26530612244898,99.03083700440529,95.25193798449612,97.32673267326733,96.23217922606925,95.96412556053812,97.80793319415449,97.95719844357977,95.07186858316221,96.0356788899901
6,98.57142857142857,99.03083700440529,97.38372093023256,96.33663366336634,97.14867617107943,97.53363228699551,98.32985386221294,97.56809338521401,96.30390143737166,97.22497522299307
7,98.87755102040816,99.47136563876651,96.51162790697674,97.62376237623762,98.16700610997964,97.75784753363229,97.7035490605428,97.66536964980544,97.12525667351129,95.54013875123886
8,98.46938775510205,98.94273127753304,98.15891472868218,97.92079207920793,98.57433808553971,97.75784753363229,98.32985386221294,96.98443579766537,97.22792607802874,95.73835480673935
9,98.36734693877551,99.29515418502203,98.06201550387597,97.32673267326733,98.26883910386965,97.6457399103139,98.32985386221294,97.76264591439688,97.12525667351129,96.13478691774034
10,98.87755102040816,99.47136563876651,97.28682170542636,98.7128712871287,98.26883910386965,97.19730941704036,97.59916492693111,96.98443579766537,97.22792607802874,95.54013875123886
11,98.6734693877551,99.29515418502203,97.18992248062015,97.72277227722772,97.35234215885947,97.75784753363229,98.32985386221294,97.66536964980544,97.43326488706366,97.02675916749257
12,98.77551020408163,99.38325991189427,97.57751937984496,97.42574257425743,97.25050916496944,97.08520179372198,98.53862212943632,96.98443579766537,96.81724845995893,97.9187314172448
13,98.46938775510205,99.29515418502203,97.77131782945736,98.7128712871287,96.23217922606925,96.74887892376681,98.32985386221294,97.85992217898833,97.53593429158111,97.22497522299307
